# Colonne « Personne » de la base Notion « 🃏 Cartes du Purgatoire », sauvegardée
# avant suppression le 2026-09-12 (owner : « la colonne personne aussi elle peut dégager »).
# Elle disait QUI une carte nomme — c'est ce qui servait au point du consentement.
# Le lien reste lisible dans le titre de chaque fiche, qui EST le pseudo.
Carte	Personne
Azraël	discord:419172225451556874
Bloodshade.Hyjal	discord:245257361386766346
ClakerNoJutsu	twitch:526656325 + discord:1172453915825016852
Fitoum	inconnu — hors commu
Iron d'aile	discord:1172453915825016852
KassandreYunikon	discord:182881216884637696
KingsRequin	discord:610550333042589752
Méliodas	discord:1087055406318223384
OriganireTV	twitch:702529105 + discord:586611760082059287 + twitch:541477747
Raiky le fusible de camion	discord:312524927779733504 + twitch:636415805
Taki_Gano	twitch:191311228 + discord:528237220327325720
Wally	wally:self
Zoe_Chmamour	discord:1185985488356646922 + twitch:1005022098
dovaest	twitch:211189744
elhya__	twitch:502342016
lilio___	twitch:666536678
lilith220501	twitch:653970409
petitpoissonnn	discord:815343909420793928
rhae___	discord:277477483199332352
zeddo el plubelo	discord:925492558262599680
Ʀ |TaKi	discord:528237220327325720
